year,gdp
1952,119.40 
1953,141.80 
1954,144.40 
1955,149.60 
1956,165.60 
1957,167.80 
1958,200.30 
1959,216.30 
1960,218.50 
1961,184.90 
1962,172.90 
1963,181.20 
1964,208.40 
1965,240.10 
1966,254.70 
1967,235.90 
1968,223.40 
1969,244.40 
1970,276.30 
1971,289.50 
1972,293.50 
1973,309.90 
1974,311.40 
1975,328.80 
1976,318.20 
1977,341.40 
1978,382.00 
1979,420.00 
1980,464.00 
1981,493.00 
1982,529.00 
1983,584.00 
1984,697.00 
1985,860.00 
1986,966.00 
1987,1116.00 
1988,1371.00 
1989,1528.00 
1990,1654.00 
1991,1903.00 
1992,2324.00 
1993,3015.00 
1994,4066.00 
1995,5074.00 
1996,5878.00 
1997,6457.00 
1998,6835.00 
1999,7199.00 
2000,7902.00 
2001,8670.00 
2002,9450.00 
2003,10600.00 
2004,12400.00 
2005,14259.00 
2006,16602.00 
2007,20337.00 
2008,23912.00 
2009,25963.00 
2010,30567.00 
2011,36018.00 
2012,39544.00 
2013,43320.00 
2014,46629.00 
