,TYPE,TRADEDATE,SECURITYCODE,CURRENCY,OPEN,HIGH,LOW,NEW,TVOL,TVAL,TURNRATE,BUYVOL,SELLVOL
0,TUSHARE,2017-01-03,600048,RMB,9.12,9.21,9.08,,,,,,
1,TUSHARE,2017-01-04,600048,RMB,9.17,9.24,9.12,,,,,,
2,TUSHARE,2017-01-05,600048,RMB,9.22,9.28,9.18,,,,,,
3,TUSHARE,2017-01-06,600048,RMB,9.19,9.24,9.13,,,,,,
4,TUSHARE,2017-01-09,600048,RMB,9.15,9.21,9.14,,,,,,
5,TUSHARE,2017-01-10,600048,RMB,9.17,9.21,9.15,,,,,,
6,TUSHARE,2017-01-11,600048,RMB,9.2,9.2,9.13,,,,,,
7,TUSHARE,2017-01-12,600048,RMB,9.1,9.14,9.04,,,,,,
8,TUSHARE,2017-01-13,600048,RMB,9.1,9.2,9.05,,,,,,
9,TUSHARE,2017-01-16,600048,RMB,9.08,9.29,8.93,,,,,,
10,TUSHARE,2017-01-17,600048,RMB,9.18,9.19,9.09,,,,,,
11,TUSHARE,2017-01-18,600048,RMB,9.15,9.23,9.12,,,,,,
12,TUSHARE,2017-01-19,600048,RMB,9.16,9.27,9.13,,,,,,
13,TUSHARE,2017-01-20,600048,RMB,9.18,9.29,9.16,,,,,,
14,TUSHARE,2017-01-23,600048,RMB,9.29,9.32,9.24,,,,,,
15,TUSHARE,2017-01-24,600048,RMB,9.28,9.29,9.17,,,,,,
16,TUSHARE,2017-01-25,600048,RMB,9.15,9.23,9.14,,,,,,
17,TUSHARE,2017-01-26,600048,RMB,9.22,9.25,9.19,,,,,,
0,TUSHARE,2017-01-03,600340,RMB,9.12,9.21,9.08,,,,,,
1,TUSHARE,2017-01-04,600340,RMB,9.17,9.24,9.12,,,,,,
2,TUSHARE,2017-01-05,600340,RMB,9.22,9.28,9.18,,,,,,
3,TUSHARE,2017-01-06,600340,RMB,9.19,9.24,9.13,,,,,,
4,TUSHARE,2017-01-09,600340,RMB,9.15,9.21,9.14,,,,,,
5,TUSHARE,2017-01-10,600340,RMB,9.17,9.21,9.15,,,,,,
6,TUSHARE,2017-01-11,600340,RMB,9.2,9.2,9.13,,,,,,
7,TUSHARE,2017-01-12,600340,RMB,9.1,9.14,9.04,,,,,,
8,TUSHARE,2017-01-13,600340,RMB,9.1,9.2,9.05,,,,,,
9,TUSHARE,2017-01-16,600340,RMB,9.08,9.29,8.93,,,,,,
10,TUSHARE,2017-01-17,600340,RMB,9.18,9.19,9.09,,,,,,
11,TUSHARE,2017-01-18,600340,RMB,9.15,9.23,9.12,,,,,,
12,TUSHARE,2017-01-19,600340,RMB,9.16,9.27,9.13,,,,,,
13,TUSHARE,2017-01-20,600340,RMB,9.18,9.29,9.16,,,,,,
14,TUSHARE,2017-01-23,600340,RMB,9.29,9.32,9.24,,,,,,
15,TUSHARE,2017-01-24,600340,RMB,9.28,9.29,9.17,,,,,,
16,TUSHARE,2017-01-25,600340,RMB,9.15,9.23,9.14,,,,,,
17,TUSHARE,2017-01-26,600340,RMB,9.22,9.25,9.19,,,,,,
0,TUSHARE,2017-01-03,600556,RMB,9.12,9.21,9.08,,,,,,
1,TUSHARE,2017-01-04,600556,RMB,9.17,9.24,9.12,,,,,,
2,TUSHARE,2017-01-05,600556,RMB,9.22,9.28,9.18,,,,,,
3,TUSHARE,2017-01-06,600556,RMB,9.19,9.24,9.13,,,,,,
4,TUSHARE,2017-01-09,600556,RMB,9.15,9.21,9.14,,,,,,
5,TUSHARE,2017-01-10,600556,RMB,9.17,9.21,9.15,,,,,,
6,TUSHARE,2017-01-11,600556,RMB,9.2,9.2,9.13,,,,,,
7,TUSHARE,2017-01-12,600556,RMB,9.1,9.14,9.04,,,,,,
8,TUSHARE,2017-01-13,600556,RMB,9.1,9.2,9.05,,,,,,
9,TUSHARE,2017-01-16,600556,RMB,9.08,9.29,8.93,,,,,,
10,TUSHARE,2017-01-17,600556,RMB,9.18,9.19,9.09,,,,,,
11,TUSHARE,2017-01-18,600556,RMB,9.15,9.23,9.12,,,,,,
12,TUSHARE,2017-01-19,600556,RMB,9.16,9.27,9.13,,,,,,
13,TUSHARE,2017-01-20,600556,RMB,9.18,9.29,9.16,,,,,,
14,TUSHARE,2017-01-23,600556,RMB,9.29,9.32,9.24,,,,,,
15,TUSHARE,2017-01-24,600556,RMB,9.28,9.29,9.17,,,,,,
16,TUSHARE,2017-01-25,600556,RMB,9.15,9.23,9.14,,,,,,
17,TUSHARE,2017-01-26,600556,RMB,9.22,9.25,9.19,,,,,,
